file_name,download_columns_count,clean_columns_count,load_columns_count,download_records_count,clean_records_count,load_records_count,pct_cleaned,pct_loaded
ACRONYMS_CD,4,4,5,885,884,884,99.89%,99.89%
ADDRESS_CD,7,7,8,327042,327041,327041,100.00%,100.00%
BALLOT_MEASURES_CD,6,6,7,110,109,109,99.09%,99.09%
CVR2_CAMPAIGN_DISCLOSURE_CD,38,38,39,97864,97864,97863,100.00%,100.00%
CVR2_LOBBY_DISCLOSURE_CD,13,13,14,96586,96585,96585,100.00%,100.00%
CVR2_REGISTRATION_CD,12,12,13,92175,92174,92174,100.00%,100.00%
CVR2_SO_CD,33,33,34,37296,37295,37295,100.00%,100.00%
CVR3_VERIFICATION_INFO_CD,13,13,14,223367,223367,223366,100.00%,100.00%
CVR_CAMPAIGN_DISCLOSURE_CD,86,86,87,342839,342839,342838,100.00%,100.00%
CVR_E530_CD,32,32,33,191,190,190,99.48%,99.48%
CVR_F470_CD,0,0,29,0,-1,0,0.00%,0.00%
CVR_LOBBY_DISCLOSURE_CD,52,52,53,283404,283403,283403,100.00%,100.00%
CVR_REGISTRATION_CD,71,71,72,43587,43586,43586,100.00%,100.00%
CVR_SO_CD,54,54,55,14900,14899,14899,99.99%,99.99%
DEBT_CD,33,33,34,409801,410180,409800,100.09%,100.00%
EFS_FILING_LOG_CD,6,6,7,146814,146813,146813,100.00%,100.00%
EXPN_CD,53,53,54,4835889,4837987,4835888,100.04%,100.00%
F495P2_CD,8,8,9,965,964,964,99.90%,99.90%
F501_502_CD,54,54,55,15444,15443,15443,99.99%,99.99%
F690P2_CD,11,11,12,18489,18488,18488,99.99%,99.99%
FILERNAME_CD,17,17,18,689541,689540,689540,100.00%,100.00%
FILERS_CD,1,1,2,346584,346583,346583,100.00%,100.00%
FILER_ACRONYMS_CD,2,2,3,1787,1786,1786,99.94%,99.94%
FILER_ADDRESS_CD,5,5,6,402193,402192,402192,100.00%,100.00%
FILER_ETHICS_CLASS_CD,3,3,4,15083,15082,15082,99.99%,99.99%
FILER_FILINGS_CD,16,16,17,1852811,1852810,1852810,100.00%,100.00%
FILER_INTERESTS_CD,4,4,5,35976,35975,35975,100.00%,100.00%
FILER_LINKS_CD,9,9,10,262257,262256,262256,100.00%,100.00%
FILER_STATUS_TYPES_CD,2,2,3,9,8,8,88.89%,88.89%
FILER_TO_FILER_TYPE_CD,16,16,17,481473,481472,481472,100.00%,100.00%
FILER_TYPES_CD,5,5,6,19,18,18,94.74%,94.74%
FILER_TYPE_PERIODS,0,0,4,0,0,0,0.00%,0.00%
FILER_TYPE_PERIODS_CD,0,0,0,0,0,0,0.00%,0.00%
FILER_XREF_CD,4,4,5,346550,346549,346549,100.00%,100.00%
FILINGS_CD,2,2,3,1721705,1721704,1721704,100.00%,100.00%
FILING_PERIOD_CD,7,7,8,1449,1448,1448,99.93%,99.93%
GROUP_TYPES_CD,3,3,4,21,20,20,95.24%,95.24%
HDR_CD,9,9,10,676751,676750,676750,100.00%,100.00%
HEADER_CD,12,12,13,89,88,88,98.88%,98.88%
IMAGE_LINKS_CD,5,5,6,14702,14701,14701,99.99%,99.99%
LATT_CD,20,20,21,73000,72999,72999,100.00%,100.00%
LCCM_CD,24,24,25,87526,87525,87525,100.00%,100.00%
LEGISLATIVE_SESSIONS_CD,3,3,4,31,30,30,96.77%,96.77%
LEMP_CD,24,24,25,268228,268227,268227,100.00%,100.00%
LEXP_CD,25,25,26,180165,180164,180164,100.00%,100.00%
LOAN_CD,49,49,50,68090,68089,68089,100.00%,100.00%
LOBBYING_CHG_LOG_CD,24,24,25,58244,58243,58243,100.00%,100.00%
LOBBYIST_CONTRIBUTIONS1_CD,7,7,8,6506,6505,6505,99.98%,99.98%
LOBBYIST_CONTRIBUTIONS2_CD,7,7,8,6506,6505,6505,99.98%,99.98%
LOBBYIST_CONTRIBUTIONS3_CD,7,7,8,6506,6505,6505,99.98%,99.98%
LOBBYIST_EMPLOYER1_CD,20,20,21,1731,1730,1730,99.94%,99.94%
LOBBYIST_EMPLOYER2_CD,20,20,21,1731,1730,1730,99.94%,99.94%
LOBBYIST_EMPLOYER3_CD,20,20,21,1731,1730,1730,99.94%,99.94%
LOBBYIST_EMPLOYER_FIRMS1_CD,5,5,6,525,524,524,99.81%,99.81%
LOBBYIST_EMPLOYER_FIRMS2_CD,5,5,6,525,524,524,99.81%,99.81%
LOBBYIST_EMPLOYER_HISTORY,0,0,21,0,0,0,0.00%,0.00%
LOBBYIST_EMPLOYER_HISTORY_CD,0,0,0,0,0,0,0.00%,0.00%
LOBBYIST_EMP_LOBBYIST1_CD,6,6,7,1501,1500,1500,99.93%,99.93%
LOBBYIST_EMP_LOBBYIST2_CD,6,6,7,1501,1500,1500,99.93%,99.93%
LOBBYIST_FIRM1_CD,18,18,19,257,256,256,99.61%,99.61%
LOBBYIST_FIRM2_CD,18,18,19,257,256,256,99.61%,99.61%
LOBBYIST_FIRM3_CD,18,18,19,257,256,256,99.61%,99.61%
LOBBYIST_FIRM_EMPLOYER1_CD,11,11,12,171,170,170,99.42%,99.42%
LOBBYIST_FIRM_EMPLOYER2_CD,11,11,12,171,170,170,99.42%,99.42%
LOBBYIST_FIRM_HISTORY,0,0,19,0,0,0,0.00%,0.00%
LOBBYIST_FIRM_HISTORY_CD,0,0,0,0,0,0,0.00%,0.00%
LOBBYIST_FIRM_LOBBYIST1_CD,6,6,7,578,577,577,99.83%,99.83%
LOBBYIST_FIRM_LOBBYIST2_CD,6,6,7,578,577,577,99.83%,99.83%
LOBBY_AMENDMENTS_CD,42,42,43,10923,10922,10922,99.99%,99.99%
LOOKUP_CODES_CD,3,3,4,1131,1130,1130,99.91%,99.91%
LOTH_CD,20,20,21,13589,13588,13588,99.99%,99.99%
LPAY_CD,26,26,27,441091,441090,441090,100.00%,100.00%
NAMES_CD,10,10,11,434689,434688,434688,100.00%,100.00%
RCPT_CD,63,63,64,9300988,9310354,9300987,100.10%,100.00%
RECEIVED_FILINGS_CD,7,7,8,388292,388291,388291,100.00%,100.00%
REPORTS_CD,8,8,9,39,38,38,97.44%,97.44%
S401_CD,37,37,38,41617,41616,41616,100.00%,100.00%
S496_CD,12,12,13,34869,34868,34868,100.00%,100.00%
S497_CD,41,41,42,575083,575082,575082,100.00%,100.00%
S498_CD,37,37,38,9264,9263,9263,99.99%,99.99%
SMRY_CD,9,9,10,8027464,8027463,8027463,100.00%,100.00%
SPLT_CD,8,8,9,3174339,3179896,3174338,100.18%,100.00%
TEXT_MEMO_CD,7,7,8,1525485,1525502,1525484,100.00%,100.00%
